Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2690000,1.3066128,3.859077,999,37.58441659,37.58441659,1
,,,,,,
2700000,1.3060653,3.7524006,999,31.50508289,31.50508289,1
,,,,,,
2710000,1.306075,3.7819095,999,37.13647971,37.13647971,1
,,,,,,
2720000,1.3062421,3.7430186,999,35.28341501,35.28341501,1
,,,,,,
2730000,1.3062421,3.8211792,999,33.76426028,33.76426028,1
,,,,,,
2740000,1.3063245,3.904405,999,44.59979691,44.59979691,1
,,,,,,
2750000,1.306326,3.8635485,999,39.46770583,39.46770583,1
,,,,,,
2760000,1.3061048,3.854765,999,40.93035856,40.93035856,1
,,,,,,
2770000,1.306071,3.8702483,999,38.52125218,38.52125218,1
,,,,,,
2780000,1.3058097,3.9224763,999,43.59977749,43.59977749,1
,,,,,,
2790000,1.305733,3.8699825,999,42.7829161,42.7829161,1
,,,,,,
2800000,1.3050675,3.983001,999,40.94387036,40.94387036,1
,,,,,,
2810000,1.304745,3.9796567,999,42.76732948,42.76732948,1
,,,,,,
2820000,1.3043692,3.8891106,999,36.97725046,36.97725046,1
,,,,,,
2830000,1.3040715,3.947993,999,38.79990054,38.79990054,1
,,,,,,
2840000,1.3035513,3.9247975,999,39.42870587,39.42870587,1
,,,,,,
2850000,1.302953,3.8686817,999,31.01786925,31.01786925,1
,,,,,,
2860000,1.3025697,3.9934871,999,44.7322726,44.7322726,1
,,,,,,
2870000,1.3019464,3.9455957,999,38.51564981,38.51564981,1
,,,,,,
2880000,1.3017935,4.00682,999,42.61350752,42.61350752,1
,,,,,,
2890000,1.3013556,4.0082154,999,44.75544515,44.75544515,1
,,,,,,
2900000,1.3013295,3.974601,999,35.93089591,35.93089591,1
,,,,,,
2910000,1.3012124,3.9612477,999,39.6928401,39.6928401,1
,,,,,,
2920000,1.3012168,4.039738,999,41.2835223,41.2835223,1
,,,,,,
2930000,1.3012484,3.9649875,999,36.67365916,36.67365916,1
,,,,,,
2940000,1.3012484,4.035816,999,38.49332121,38.49332121,1
,,,,,,
2950000,1.3012182,4.000353,999,40.94355968,40.94355968,1
,,,,,,
2960000,1.3012143,3.9743133,999,36.20838625,36.20838625,1
,,,,,,
2970000,1.301042,4.071473,999,40.65200115,40.65200115,1
,,,,,,
2980000,1.3010179,4.03894,999,45.31913796,45.31913796,1
,,,,,,
2990000,1.2998533,4.05639,999,42.44442641,42.44442641,1
,,,,,,
3000000,1.299488,4.166067,999,47.56345286,47.56345286,1
,,,,,,
3010000,1.2990805,4.0578656,999,37.28106948,37.28106948,1
,,,,,,
3020000,1.2988808,4.0357475,999,37.17299501,37.17299501,1
,,,,,,
3030000,1.2984872,3.9141247,999,33.58935338,33.58935338,1
,,,,,,
3040000,1.2981999,4.0213046,999,38.39874418,38.39874418,1
,,,,,,
3050000,1.2978901,3.9270012,999,36.43918562,36.43918562,1
,,,,,,
3060000,1.2975314,3.940965,999,33.07090148,33.07090148,1
,,,,,,
3070000,1.2974252,3.934468,999,36.08957461,36.08957461,1
,,,,,,
3080000,1.297248,4.0240307,999,38.47198658,38.47198658,1
,,,,,,
3090000,1.2970723,3.9603105,999,37.42599414,37.42599414,1
,,,,,,
3100000,1.2965624,3.9379241,999,32.29479332,32.29479332,1
,,,,,,
3110000,1.2964324,3.8973606,999,37.33051841,37.33051841,1
,,,,,,
3120000,1.2958201,3.9150655,999,36.47946865,36.47946865,1
,,,,,,
3130000,1.2957783,3.9926476,999,37.48816577,37.48816577,1
,,,,,,
3140000,1.2952058,3.9552834,999,40.12738749,40.12738749,1
,,,,,,
3150000,1.2952058,4.068496,999,37.27303467,37.27303467,1
,,,,,,
3160000,1.2945119,4.02293,999,42.81986032,42.81986032,1
,,,,,,
3170000,1.2944852,3.7403884,999,31.8996053,31.8996053,1
,,,,,,
3180000,1.2938334,3.880661,999,42.71142548,42.71142548,1
,,,,,,
3190000,1.2937348,3.975191,999,35.46948431,35.46948431,1
,,,,,,
3200000,1.2932291,4.033893,999,43.94834084,43.94834084,1
,,,,,,
3210000,1.2930892,3.8571784,999,35.90168826,35.90168826,1
,,,,,,
3220000,1.2926342,3.9504204,999,33.76934794,33.76934794,1
,,,,,,
3230000,1.2923982,3.9861343,999,44.72314392,44.72314392,1
,,,,,,
3240000,1.292167,3.9785428,999,39.06767779,39.06767779,1
,,,,,,
3250000,1.2919977,3.9999833,999,44.14966877,44.14966877,1
,,,,,,
3260000,1.2920036,3.9964776,999,35.57216739,35.57216739,1
,,,,,,
3270000,1.2920105,4.0015445,999,40.46458709,40.46458709,1
,,,,,,
3280000,1.2918282,4.0117245,999,40.53825942,40.53825942,1
,,,,,,
3290000,1.2914952,4.0356116,999,38.48940228,38.48940228,1
,,,,,,
3300000,1.2914498,4.116212,999,44.7666616,44.7666616,1
,,,,,,
3310000,1.2913378,3.982306,999,44.58700552,44.58700552,1
,,,,,,
3320000,1.2912786,3.9367104,999,37.98980981,37.98980981,1
,,,,,,
3330000,1.2909456,3.9954543,999,39.35081235,39.35081235,1
,,,,,,
3340000,1.2909192,3.9972959,999,40.45661072,40.45661072,1
,,,,,,
3350000,1.2905636,4.0151715,999,40.17989173,40.17989173,1
,,,,,,
3360000,1.2905636,3.9750366,999,39.61672712,39.61672712,1
,,,,,,
3370000,1.2901351,4.07313,999,39.33522782,39.33522782,1
,,,,,,
